canCommandSenderUseCommand,func_71519_b
getCommandSenderAsPlayer,func_71521_c
notifyAdmins,func_71522_a
doesStringStartWith,func_71523_a
notifyAdmins,func_71524_a
parseInt,func_71526_a
joinNiceString,func_71527_a
parseIntWithMin,func_71528_a
setAdminCommander,func_71529_a
getListOfStringsMatchingLastWord,func_71530_a
getListOfStringsFromIterableMatchingLastWord,func_71531_a
parseIntBounded,func_71532_a
getSortedPossibleCommands,func_71534_d
getCommands,func_71535_c
getPlayers,func_71536_c
getListOfPlayerUsernames,func_71538_c
getGameModeFromCommand,func_71539_b
setGameType,func_71541_a
getAllUsernames,func_71542_c
setTime,func_71552_a
addTime,func_71553_b
toggleDownfall,func_71554_c
getCommands,func_71555_a
executeCommand,func_71556_a
getPossibleCommands,func_71557_a
getPossibleCommands,func_71558_b
dropFirstString,func_71559_a
registerCommand,func_71560_a
notifyAdmins,func_71563_a
filerAllowedCharacters,func_71565_a
isAllowedCharacter,func_71566_a
getDistanceSquared,func_71569_e
set,func_71571_b
getCrashReport,func_71575_a
cleanPool,func_72298_a
getAABB,func_72299_a
clearPool,func_72300_b
expand,func_72314_b
isVecInXZ,func_72315_c
calculateXOffset,func_72316_a
offset,func_72317_d
isVecInside,func_72318_a
isVecInXY,func_72319_d
getAverageEdgeLength,func_72320_b
addCoord,func_72321_a
calculateZOffset,func_72322_c
calculateYOffset,func_72323_b
setBounds,func_72324_b
getOffsetBoundingBox,func_72325_c
intersectsWith,func_72326_a
calculateIntercept,func_72327_a
setBB,func_72328_c
copy,func_72329_c
getBoundingBox,func_72330_a
contract,func_72331_e
getAABBPool,func_72332_a
isVecInYZ,func_72333_b
clear,func_72343_a
clearAndFreeCache,func_72344_b
getVecFromPool,func_72345_a
getMaxPlayers,func_72352_l
isPlayerOpped,func_72353_e
updateTimeAndWeatherForPlayer,func_72354_b
initializeConnectionToPlayer,func_72355_a
transferPlayerToDimension,func_72356_a
setGameType,func_72357_a
updatePlayerPertinentChunks,func_72358_d
addToWhiteList,func_72359_h
removeOp,func_72360_c
getPlayerForUsername,func_72361_f
loadWhiteList,func_72362_j
getBannedIPs,func_72363_f
setPlayerManager,func_72364_a
getServerInstance,func_72365_p
playerLoggedOut,func_72367_e
respawnPlayer,func_72368_a
getAllUsernames,func_72369_d
isAllowedToLogin,func_72370_d
setWhiteListEnabled,func_72371_a
getEntityViewDistance,func_72372_a
getAvailablePlayerDat,func_72373_m
sendPlayerInfoToAllPlayers,func_72374_b
getOps,func_72376_i
playerLoggedIn,func_72377_c
getHostPlayerData,func_72378_q
removeFromWhitelist,func_72379_i
readPlayerDataFromFile,func_72380_a
getPlayerList,func_72382_j
isWhiteListEnabled,func_72383_n
syncPlayerInventory,func_72385_f
addOp,func_72386_b
setCommandsAllowedForAll,func_72387_b
getWhiteListedPlayers,func_72388_h
saveAllPlayerData,func_72389_g
getBannedPlayers,func_72390_e
writePlayerData,func_72391_b
removeAllPlayers,func_72392_r
getCurrentPlayerCount,func_72394_k
getViewDistance,func_72395_o
getPlayerListAsString,func_72398_c
loadOpsList,func_72417_t
readWhiteList,func_72418_v
saveOpsList,func_72419_u
saveWhiteList,func_72421_w
getIntermediateWithXValue,func_72429_b
dotProduct,func_72430_b
crossProduct,func_72431_c
normalize,func_72432_b
lengthVector,func_72433_c
getIntermediateWithZValue,func_72434_d
getIntermediateWithYValue,func_72435_c
squareDistanceTo,func_72436_e
distanceTo,func_72438_d
setComponents,func_72439_b
rotateAroundX,func_72440_a
addVector,func_72441_c
rotateAroundY,func_72442_b
createVectorHelper,func_72443_a
subtract,func_72444_a
squareDistanceTo,func_72445_d
rotateAroundZ,func_72446_c
getRequestId,func_72591_c
getRandomChallenge,func_72592_a
hasExpired,func_72593_a
getChallengeValue,func_72594_b
registerSocket,func_72601_a
startThread,func_72602_a
getNumberOfPlayers,func_72603_d
closeSocket,func_72604_a
closeServerSocket_do,func_72605_a
logWarning,func_72606_c
logDebug,func_72607_a
closeServerSocket,func_72608_b
logInfo,func_72609_b
logSevere,func_72610_d
closeAllSockets,func_72611_e
closeAllSockets_do,func_72612_a
isRunning,func_72613_c
sendResponsePacket,func_72620_a
parseIncomingPacket,func_72621_a
sendAuthChallenge,func_72622_d
stopWithException,func_72623_a
createQueryResponse,func_72624_b
getRequestID,func_72625_a
initQuerySystem,func_72626_g
verifyClientAuth,func_72627_c
cleanQueryClientsMap,func_72628_f
cleanClientThreadsMap,func_72645_g
initClientThreadList,func_72646_f
closeSocket,func_72653_g
sendResponse,func_72654_a
sendMultipacketResponse,func_72655_a
sendLoginFailedResponse,func_72656_f
getBytesAsString,func_72661_a
getRemainingBytesAsLEInt,func_72662_b
getByteAsHexString,func_72663_a
getBytesAsBEint,func_72664_c
getBytesAsLEInt,func_72665_b
writeInt,func_72667_a
writeShort,func_72668_a
reset,func_72669_b
writeByteArray,func_72670_a
writeString,func_72671_a
toByteArray,func_72672_a
getChunkWatchersWithPlayers,func_72682_c
addPlayer,func_72683_a
overlaps,func_72684_a
updatePlayerPertinentChunks,func_72685_d
getFurthestViewableBlock,func_72686_a
getWorldServer,func_72688_a
getChunkWatchers,func_72689_b
getOrCreateChunkWatcher,func_72690_a
filterChunkLoadQueue,func_72691_b
getWorldServer,func_72692_a
updatePlayerInstances,func_72693_b
isPlayerWatchingChunk,func_72694_a
removePlayer,func_72695_c
playRecord,func_72702_a
onEntityCreate,func_72703_a
playSound,func_72704_a
playAuxSFX,func_72706_a
spawnParticle,func_72708_a
onEntityDestroy,func_72709_b
loadRenderers,func_72712_a
renderSky,func_72714_a
updateRenderers,func_72716_a
drawBlockDamageTexture,func_72717_a
renderClouds,func_72718_b
sortAndRender,func_72719_a
checkOcclusionQueryResult,func_72720_a
hasCloudFog,func_72721_a
markRenderersForNewPosition,func_72722_c
getDebugInfoEntities,func_72723_d
renderSortedRenderers,func_72724_a
markBlocksForUpdate,func_72725_b
